name	x	y	z	size
LA1	-33.957158949058	-74.6932032934018	9.04284634399872	5
LA2	-36.9570218154393	-72.8820194978925	9.09126421877422	5
LA3	-39.9568846818207	-71.07083570238309	9.139682093549721	5
LA4	-42.956747548202	-69.2596519068738	9.18809996832522	5
LA5	-45.956610414583395	-67.4484681113644	9.23651784310072	5
LA6	-48.9564732809647	-65.6372843158551	9.28493571787623	5
LA7	-51.95633614734611	-63.82610052034579	9.333353592651731	5
LA8	-54.9561990137274	-62.0149167248364	9.38177146742723	5
LB1	-21.785583139428	-53.1105468626142	13.640141535894498	5
LB2	-24.978943510174304	-53.1673548246103	14.962851367268	5
LB3	-28.1723038809206	-53.2241627866064	16.2855611986415	5
LB4	-31.365664251667	-53.280970748602506	17.608271030015	5
LB5	-34.559024622413304	-53.3377787105986	18.9309808613885	5
LB6	-37.7523849931596	-53.3945866725948	20.253690692762	5
LB7	-40.9457453639059	-53.451394634590905	21.576400524135497	5
LB8	-44.1391057346523	-53.508202596587	22.899110355509	5
LB9	-47.332466105398595	-53.5650105585831	24.2218201868824	5
LB10	-50.52582647614489	-53.621818520579204	25.544530018255898	5
LB11	-53.7191868468913	-53.67862648257529	26.867239849629396	5
LB12	-56.9125472176376	-53.7354344445715	28.189949681002897	5
LD1	-12.5883922133428	-55.595393298401206	49.651225008948096	5
LD2	-14.302677927628501	-58.05725932607329	51.5554676130811	5
LD3	-16.0169636419142	-60.519125353745395	53.4597102172142	5
LD4	-17.7312493561999	-62.980991381417596	55.3639528213473	5
LD5	-19.4455350704856	-65.4428574090897	57.2681954254803	5
LD6	-21.159820784771398	-67.9047234367618	59.1724380296134	5
LD7	-22.874106499057103	-70.366589464434	61.07668063374639	5
LD8	-24.5883922133428	-72.82845549210609	62.980923237879495	5
LI1	-36.4619737884786	0.32432261609810104	33.0831571879106	5
LI2	-39.975388878093604	0.28424641225368397	32.9971346942257	5
LI3	-43.4888039677085	0.24417020840926604	32.9111122005408	5
LI4	-47.0022190573234	0.204094004564849	32.8250897068559	5
LI5	-50.5156341469383	0.164017800720432	32.739067213171	5
LI6	-54.0290492365533	0.123941596876015	32.653044719486104	5
LI7	-57.5424643261682	0.0838653930315973	32.5670222258012	5
LI8	-61.0558794157831	0.04378918918718	32.480999732116295	5
LK1	2.5431718284233398	-27.890229177047	72.5270914908683	5
LK2	-0.9846915576222429	-27.8632439244208	72.4087844049705	5
LK3	-4.51255494366783	-27.8362586717946	72.2904773190727	5
LK4	-8.04041832971341	-27.809273419168402	72.17217023317491	5
LK5	-11.568281715759001	-27.7822881665422	72.0538631472771	5
LK6	-15.0961451018046	-27.755302913915898	71.9355560613793	5
LK7	-18.624008487850197	-27.7283176612897	71.8172489754815	5
LK8	-22.151871873895697	-27.7013324086635	71.69894188958371	5
LK9	-25.6797352599413	-27.674347156037303	71.58063480368591	5
LK10	-29.2075986459869	-27.647361903411102	71.4623277177881	5
LK11	-32.7354620320325	-27.620376650784802	71.3440206318903	5
LK12	-36.263325418078104	-27.5933913981586	71.2257135459925	5
LL1	-35.317637548629705	-55.2077240193595	30.2943801803227	5
LL2	-36.480472894459	-55.0927202052361	33.55294271764001	5
LL3	-37.6433082402884	-54.97771639111279	36.811505254957204	5
LL4	-38.8061435861177	-54.8627125769894	40.0700677922745	5
LL5	-39.968978931947106	-54.747708762866104	43.328630329591704	5
LL6	-41.1318142777764	-54.632704948742706	46.5871928669089	5
LL7	-42.29464962360579	-54.5177011346194	49.84575540422621	5
LL8	-43.4574849694351	-54.402697320495996	53.1043179415434	5
LL9	-44.6203203152645	-54.2876935063727	56.362880478860596	5
LL10	-45.7831556610938	-54.1726896922493	59.6214430161779	5
LO1	-40.1242863638671	-25.821359453361897	6.66556984712631	5
LO2	-40.253919240612	-29.1129205798753	7.82701684774833	5
LO3	-40.3835521173569	-32.4044817063887	8.98846384837034	5
LO4	-40.5131849941018	-35.696042832902	10.1499108489924	5
LO5	-40.642817870846706	-38.987603959415395	11.311357849614401	5
LO6	-40.7724507475916	-42.279165085928796	12.472804850236402	5
LO7	-40.9020836243365	-45.57072621244221	13.6342518508584	5
LO8	-41.0317165010814	-48.8622873389556	14.7956988514804	5
LO9	-41.1613493778263	-52.153848465469	15.9571458521025	5
LO10	-41.290982254571205	-55.445409591982404	17.1185928527245	5
LO11	-41.420615131316104	-58.736970718495705	18.2800398533465	5
LO12	-41.550248008061	-62.0285318450091	19.441486853968502	5
LO13	-41.6798808848059	-65.3200929715225	20.6029338545905	5
LO14	-41.8095137615508	-68.6116540980359	21.764380855212604	5
LO15	-41.9391466382957	-71.9032152245493	22.925827855834605	5
LO16	-42.0687795150406	-75.1947763510627	24.0872748564566	5
LO17	-42.198412391785496	-78.4863374775761	25.2487218570786	5
LO18	-42.328045268530396	-81.7778986040894	26.4101688577006	5
LT1	-41.485070479463396	-37.0483601354684	7.1605647279574205	5
LT2	-45.015864194413204	-37.1096758257999	7.037292328013639	5
LT3	-48.5466579093629	-37.1709915161315	6.914019928069861	5
LT4	-52.07745162431271	-37.232307206463	6.79074752812608	5
LT5	-55.6082453392624	-37.2936228967945	6.6674751281823	5
LY1	-28.236851412116604	-2.08359238813541	20.485705244833	5
LY2	-28.1382425753621	-3.9591574274689902	23.451001677999397	5
LY3	-28.039633738607602	-5.83472246680256	26.4162981111658	5
LY4	-27.941024901853105	-7.710287506136139	29.3815945443322	5
LY5	-27.8424160650985	-9.585852545469711	32.3468909774986	5
LY6	-27.743807228344	-11.4614175848033	35.312187410665004	5
LY7	-27.6451983915895	-13.336982624136901	38.277483843831504	5
LY8	-27.546589554835	-15.2125476634704	41.2427802769979	5
LY9	-27.447980718080398	-17.088112702804	44.2080767101643	5
LY10	-27.349371881325897	-18.9636777421376	47.17337314333071	5
LY11	-27.2507630445714	-20.8392427814712	50.138669576497094	5
LY12	-27.152154207816896	-22.7148078208047	53.103966009663495	5
LY13	-27.053545371062302	-24.590372860138302	56.06926244283001	5
LY14	-26.954936534307798	-26.465937899471896	59.034558875996396	5
